Time;T (°C);Q (l/s)
1992-10-01 00:00;11,9;0,0
1992-10-01 01:00;11,2;0,0
1992-10-01 02:00;11,2;0,0
1992-10-01 03:00;11,5;0,0
1992-10-01 04:00;11,8;0,0
1992-10-01 05:00;11,9;0,0
1992-10-01 06:00;12,1;0,0
1992-10-01 07:00;11,3;0,0
1992-10-01 08:00;14,1;0,0
1992-10-01 09:00;17,4;0,0
1992-10-01 10:00;19,6;0,0
1992-10-01 11:00;20,9;0,0
1992-10-01 12:00;21,8;0,0
1992-10-01 13:00;22,3;0,0
1992-10-01 14:00;22,5;0,0
1992-10-01 15:00;22,4;0,0
1992-10-01 16:00;21,9;0,0
1992-10-01 17:00;20,8;0,0
1992-10-01 18:00;19,1;0,0
1992-10-01 19:00;17,3;0,0
1992-10-01 20:00;15,8;0,0
1992-10-01 21:00;14,4;0,0
1992-10-01 22:00;13,4;0,0
1992-10-01 23:00;12,6;0,0
1992-10-02 00:00;11,9;0,0
1992-10-02 01:00;11,5;0,0
1992-10-02 02:00;12;0,0
1992-10-02 03:00;12,6;0,0
1992-10-02 04:00;13;0,0
1992-10-02 05:00;13;0,0
1992-10-02 06:00;12,9;0,0
1992-10-02 07:00;12,1;0,0
1992-10-02 08:00;14,8;0,0
1992-10-02 09:00;18,9;0,0
1992-10-02 10:00;21,2;0,0
1992-10-02 11:00;22,7;0,0
1992-10-02 12:00;23,6;0,0
1992-10-02 13:00;24,1;0,0
1992-10-02 14:00;24,2;0,0
1992-10-02 15:00;23,5;0,0
1992-10-02 16:00;22,6;0,0
1992-10-02 17:00;21,4;0,0
1992-10-02 18:00;19,5;0,0
1992-10-02 19:00;18,2;0,0
1992-10-02 20:00;17,2;0,0
1992-10-02 21:00;16,3;0,0
1992-10-02 22:00;15,2;0,0
1992-10-02 23:00;14,4;0,0
1992-10-03 00:00;14;0,0
1992-10-03 01:00;13,8;0,0
1992-10-03 02:00;13,7;0,0
1992-10-03 03:00;13,5;0,0
1992-10-03 04:00;13,5;0,0
1992-10-03 05:00;13,5;0,0
1992-10-03 06:00;13,5;0,0
1992-10-03 07:00;13,5;0,0
1992-10-03 08:00;14;0,0
1992-10-03 09:00;14,9;0,0
1992-10-03 10:00;16;0,0
1992-10-03 11:00;17,1;0,0
1992-10-03 12:00;18;0,0
1992-10-03 13:00;18,8;0,0
1992-10-03 14:00;18,9;0,0
1992-10-03 15:00;18,8;0,0
1992-10-03 16:00;18;0,0
