Unidades: €/MW;;
Informação acedida em: 30/06/2025 15:32:26;;
Data;Hora;Portugal
01/01/2019;1;66.88
01/01/2019;2;66.88
01/01/2019;3;66.00
01/01/2019;4;63.64
01/01/2019;5;58.85
01/01/2019;6;55.47
01/01/2019;7;56.00
01/01/2019;8;61.09
01/01/2019;9;61.01
01/01/2019;10;61.00
01/01/2019;11;63.00
01/01/2019;12;63.00
01/01/2019;13;64.03
01/01/2019;14;65.88
01/01/2019;15;65.01
01/01/2019;16;60.84
01/01/2019;17;61.09
01/01/2019;18;63.08
01/01/2019;19;66.66
01/01/2019;20;67.06
01/01/2019;21;67.26
01/01/2019;22;68.07
01/01/2019;23;67.08
01/01/2019;24;64.03
02/01/2019;1;61.74
02/01/2019;2;54.87
02/01/2019;3;54.42
02/01/2019;4;52.99
02/01/2019;5;51.10
02/01/2019;6;51.09
02/01/2019;7;51.10
02/01/2019;8;58.37
02/01/2019;9;63.75
02/01/2019;10;66.10
02/01/2019;11;65.88
02/01/2019;12;63.63
02/01/2019;13;62.80
02/01/2019;14;63.16
02/01/2019;15;61.50
02/01/2019;16;60.69
02/01/2019;17;62.19
02/01/2019;18;67.10
02/01/2019;19;69.30
02/01/2019;20;69.25
02/01/2019;21;68.07
02/01/2019;22;68.01
02/01/2019;23;66.66
02/01/2019;24;64.28
03/01/2019;1;62.01
03/01/2019;2;54.85
03/01/2019;3;52.19
03/01/2019;4;50.21
03/01/2019;5;50.20
03/01/2019;6;52.19
03/01/2019;7;54.91
03/01/2019;8;66.58
03/01/2019;9;66.88
03/01/2019;10;69.12
03/01/2019;11;69.19
03/01/2019;12;68.01
03/01/2019;13;67.20
03/01/2019;14;66.70
03/01/2019;15;67.00
03/01/2019;16;68.01
03/01/2019;17;68.99
03/01/2019;18;70.00
03/01/2019;19;71.10
03/01/2019;20;70.55
03/01/2019;21;68.38
03/01/2019;22;67.83
03/01/2019;23;66.10
03/01/2019;24;66.88
04/01/2019;1;67.20
04/01/2019;2;63.75
04/01/2019;3;58.89
04/01/2019;4;54.94
04/01/2019;5;54.85
04/01/2019;6;58.00
04/01/2019;7;63.00
04/01/2019;8;68.40
04/01/2019;9;69.71
04/01/2019;10;71.06
04/01/2019;11;71.06
04/01/2019;12;70.16
04/01/2019;13;70.01
04/01/2019;14;69.17
04/01/2019;15;69.15
04/01/2019;16;68.40
04/01/2019;17;68.40
04/01/2019;18;69.15
04/01/2019;19;71.06
04/01/2019;20;71.94
04/01/2019;21;70.20
04/01/2019;22;68.71
04/01/2019;23;68.68
04/01/2019;24;68.17
05/01/2019;1;71.68
05/01/2019;2;69.50
05/01/2019;3;68.07
05/01/2019;4;66.00
05/01/2019;5;63.93
05/01/2019;6;62.00
05/01/2019;7;60.84
05/01/2019;8;62.92
05/01/2019;9;60.79
05/01/2019;10;66.92
05/01/2019;11;69.12
05/01/2019;12;68.25
05/01/2019;13;67.67
05/01/2019;14;64.00
05/01/2019;15;61.57
05/01/2019;16;59.40
05/01/2019;17;58.31
05/01/2019;18;67.20
05/01/2019;19;69.00
05/01/2019;20;68.71
05/01/2019;21;68.07
05/01/2019;22;65.38
05/01/2019;23;65.76
05/01/2019;24;62.80
06/01/2019;1;63.75
06/01/2019;2;54.70
06/01/2019;3;54.05
06/01/2019;4;52.20
06/01/2019;5;50.20
06/01/2019;6;50.20
06/01/2019;7;50.20
06/01/2019;8;50.20
06/01/2019;9;52.20
06/01/2019;10;54.70
06/01/2019;11;62.00
06/01/2019;12;64.01
06/01/2019;13;64.18
06/01/2019;14;64.86
06/01/2019;15;64.01
06/01/2019;16;58.31
06/01/2019;17;54.94
06/01/2019;18;63.43
06/01/2019;19;67.37
06/01/2019;20;67.20
06/01/2019;21;66.03
06/01/2019;22;68.00
06/01/2019;23;67.65
06/01/2019;24;65.38
07/01/2019;1;59.59
07/01/2019;2;54.09
07/01/2019;3;52.20
07/01/2019;4;50.90
07/01/2019;5;50.50
07/01/2019;6;50.90
07/01/2019;7;55.77
07/01/2019;8;68.61
07/01/2019;9;69.15
07/01/2019;10;69.70
07/01/2019;11;69.49
07/01/2019;12;69.01
07/01/2019;13;69.00
07/01/2019;14;68.74
07/01/2019;15;66.62
07/01/2019;16;64.99
07/01/2019;17;62.67
07/01/2019;18;67.04
07/01/2019;19;70.39
07/01/2019;20;70.33
07/01/2019;21;69.00
07/01/2019;22;67.14
07/01/2019;23;63.00
07/01/2019;24;60.84
08/01/2019;1;59.59
08/01/2019;2;54.34
08/01/2019;3;52.10
08/01/2019;4;50.71
08/01/2019;5;50.50
08/01/2019;6;51.17
08/01/2019;7;54.69
08/01/2019;8;65.82
08/01/2019;9;67.20
08/01/2019;10;68.16
08/01/2019;11;68.53
08/01/2019;12;68.15
08/01/2019;13;67.95
08/01/2019;14;67.97
08/01/2019;15;65.48
08/01/2019;16;63.16
08/01/2019;17;60.66
08/01/2019;18;67.25
08/01/2019;19;69.94
08/01/2019;20;70.00
08/01/2019;21;68.15
08/01/2019;22;67.25
08/01/2019;23;63.70
08/01/2019;24;58.85
09/01/2019;1;65.25
09/01/2019;2;52.50
09/01/2019;3;51.60
09/01/2019;4;50.29
09/01/2019;5;49.79
09/01/2019;6;49.99
09/01/2019;7;53.28
09/01/2019;8;64.07
09/01/2019;9;67.16
09/01/2019;10;67.29
09/01/2019;11;67.20
09/01/2019;12;67.00
09/01/2019;13;64.97
09/01/2019;14;65.25
09/01/2019;15;65.25
09/01/2019;16;65.25
09/01/2019;17;61.71
09/01/2019;18;67.05
09/01/2019;19;68.53
09/01/2019;20;69.01
09/01/2019;21;66.58
09/01/2019;22;64.54
09/01/2019;23;62.44
09/01/2019;24;54.70
10/01/2019;1;58.60
10/01/2019;2;50.49
10/01/2019;3;51.20
10/01/2019;4;48.80
10/01/2019;5;48.50
10/01/2019;6;49.80
10/01/2019;7;57.74
10/01/2019;8;66.18
10/01/2019;9;67.20
10/01/2019;10;68.00
10/01/2019;11;67.73
10/01/2019;12;67.05
10/01/2019;13;66.15
10/01/2019;14;66.01
10/01/2019;15;64.18
10/01/2019;16;63.52
10/01/2019;17;64.60
10/01/2019;18;67.20
10/01/2019;19;69.00
10/01/2019;20;69.69
10/01/2019;21;69.75
10/01/2019;22;67.73
10/01/2019;23;65.52
10/01/2019;24;63.02
11/01/2019;1;60.84
11/01/2019;2;55.61
11/01/2019;3;52.85
11/01/2019;4;51.00
11/01/2019;5;49.98
11/01/2019;6;51.60
11/01/2019;7;58.31
11/01/2019;8;68.35
11/01/2019;9;69.01
11/01/2019;10;69.45
11/01/2019;11;69.01
11/01/2019;12;67.71
11/01/2019;13;67.69
11/01/2019;14;67.20
11/01/2019;15;67.66
11/01/2019;16;66.06
11/01/2019;17;66.18
11/01/2019;18;68.07
11/01/2019;19;70.00
11/01/2019;20;70.45
11/01/2019;21;69.19
11/01/2019;22;67.12
11/01/2019;23;66.03
11/01/2019;24;63.90
12/01/2019;1;67.18
12/01/2019;2;59.86
12/01/2019;3;53.89
12/01/2019;4;51.60
12/01/2019;5;51.40
12/01/2019;6;51.45
12/01/2019;7;52.37
12/01/2019;8;57.49
12/01/2019;9;64.00
12/01/2019;10;68.00
12/01/2019;11;68.39
12/01/2019;12;67.13
12/01/2019;13;64.69
12/01/2019;14;66.12
12/01/2019;15;64.58
12/01/2019;16;59.86
12/01/2019;17;57.52
12/01/2019;18;59.86
12/01/2019;19;68.39
12/01/2019;20;69.45
12/01/2019;21;69.69
12/01/2019;22;69.45
12/01/2019;23;68.71
12/01/2019;24;67.83
13/01/2019;1;57.48
13/01/2019;2;52.29
13/01/2019;3;51.19
13/01/2019;4;50.79
13/01/2019;5;49.91
13/01/2019;6;50.79
13/01/2019;7;50.79
13/01/2019;8;51.19
13/01/2019;9;51.31
13/01/2019;10;52.29
13/01/2019;11;61.78
13/01/2019;12;62.50
13/01/2019;13;63.15
13/01/2019;14;66.00
13/01/2019;15;66.00
13/01/2019;16;63.67
13/01/2019;17;60.82
13/01/2019;18;64.39
13/01/2019;19;68.52
13/01/2019;20;70.11
13/01/2019;21;71.69
13/01/2019;22;71.69
13/01/2019;23;70.01
13/01/2019;24;68.00
14/01/2019;1;69.89
14/01/2019;2;68.88
14/01/2019;3;67.01
14/01/2019;4;66.16
14/01/2019;5;56.20
14/01/2019;6;56.20
14/01/2019;7;56.20
14/01/2019;8;66.49
14/01/2019;9;67.83
14/01/2019;10;68.07
14/01/2019;11;67.27
14/01/2019;12;67.00
14/01/2019;13;67.20
14/01/2019;14;66.42
14/01/2019;15;64.33
14/01/2019;16;62.56
14/01/2019;17;62.84
14/01/2019;18;68.07
14/01/2019;19;71.64
14/01/2019;20;72.52
14/01/2019;21;71.81
14/01/2019;22;70.11
14/01/2019;23;68.40
14/01/2019;24;65.54
15/01/2019;1;60.00
15/01/2019;2;56.20
15/01/2019;3;54.90
15/01/2019;4;54.90
15/01/2019;5;54.90
15/01/2019;6;57.57
15/01/2019;7;66.01
15/01/2019;8;68.65
15/01/2019;9;70.16
15/01/2019;10;70.11
15/01/2019;11;71.04
15/01/2019;12;70.11
15/01/2019;13;69.43
15/01/2019;14;69.43
15/01/2019;15;69.13
15/01/2019;16;68.99
15/01/2019;17;69.08
15/01/2019;18;71.52
15/01/2019;19;74.05
15/01/2019;20;74.74
15/01/2019;21;72.92
15/01/2019;22;72.71
15/01/2019;23;71.88
15/01/2019;24;70.16
16/01/2019;1;70.16
16/01/2019;2;68.40
16/01/2019;3;66.00
16/01/2019;4;63.93
16/01/2019;5;61.07
16/01/2019;6;63.93
16/01/2019;7;68.07
16/01/2019;8;70.30
16/01/2019;9;71.69
16/01/2019;10;72.47
16/01/2019;11;72.20
16/01/2019;12;71.04
16/01/2019;13;70.04
16/01/2019;14;70.00
16/01/2019;15;68.71
16/01/2019;16;68.29
16/01/2019;17;68.29
16/01/2019;18;69.59
16/01/2019;19;72.33
16/01/2019;20;72.95
16/01/2019;21;72.20
16/01/2019;22;72.99
